PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER,MODEL
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-28T19:22:34,58.2083,-50.904,AR7W_18,JAMES COOK,300125063319510,4902726,P5389A-25CA001,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-05T05:02:12,55.61119,-53.6306,AR7W_11,JAMES COOK,300125063318510,4902731,P5389B-25CA001,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-06-02T04:38:11,58.680396,-50.458811,AR7W_19,JAMES COOK,300125063419060,4902734,P5389B-25CA004,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-28T06:05:00,57.3766,-51.7914,AR7W_16,JAMES COOK,300125063217740,4902729,P5389A-25CA007,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-29T16:46:15,59.4833,-49.4755,AR7W_21,JAMES COOK,300125063211730,4902722,P5389A-25CA008,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-27T13:45:00,56.5362,-52.6785,AR7W_14,JAMES COOK,300125063215730,4902736,P5389B-25CA009,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-04T10:20:00,61.6455,-37.2247,,MERIAN,300125063415280,4902727,P5389A-25CA002,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-03T19:17:00,59.2896,-40.1547,,MERIAN,300125063313520,4902719,P5389A-25CA004,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-03T10:22:00,57.9958,-41.9747,,MERIAN,300125063411300,4902732,P5389B-25CA002,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-02T10:32:00,54.2361,-46.0642,,MERIAN,300125063128670,4902735,P5389B-25CA008,PROVOR_V
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-05-02T18:40:00,55.4984,-44.721,,MERIAN,300125063212730,4902730,P5389A-25CA009,PROVOR_V
Argo Canada,Blair Greenan,BIO,2026-06-05T05:14:10,55.6121,-53.6331,AR7W_11,JAMES COOK,,,11421,APEX
